class,text
positive,They also have the best cheese crisp in town.
positive,"Good value, great food, great service."
positive,Couldn't ask for a more satisfying meal.
positive,The food is good.
positive,It was awesome.
negative,I just wanted to leave.
positive,We made the drive all the way from North Scottsdale... and I was not one bit disappointed!
negative,I will not be eating there again.
negative,!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!
negative,I checked out this place a couple years ago and was not impressed.
negative,"The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy."
negative,"Sorry, I will not be getting food from here anytime soon :("
positive,An absolute must visit!
positive,The cow tongue and cheek tacos are amazing.
negative,My friend did not like his Bloody Mary.
negative,"Despite how hard I rate businesses, its actually rare for me to give a 1 star."
positive,They really want to make your experience a good one.
negative,I will not return.
negative,I had the chicken Pho and it tasted very bland.
negative,Very disappointing!!!
positive,The grilled chicken was so tender and yellow from the saffron seasoning.
negative,"a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait."
positive,Pretty awesome place.
positive,Ambience is perfect.
negative,Best of luck to the rude and non-customer service focused new management.
negative,Any grandmother can make a roasted chicken better than this one.
negative,I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.
positive,"The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!"
positive,Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !
positive,The roast beef sandwich tasted really good!
negative,"Same evening, him and I are both drastically sick."
positive,High-quality chicken on the chicken Caesar salad.
negative,Ordered burger rare came in we'll done.
positive,We were promptly greeted and seated.
negative,Tried to go here for lunch and it was a madhouse.
positive,"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable."
negative,"After waiting an hour and being seated, I was not in the greatest of moods."
positive,This is a good joint.
positive,The Macarons here are insanely good.
negative,I'm not eating here!
positive,"Our waiter was very attentive, friendly, and informative."
negative,Maybe if they weren't cold they would have been somewhat edible.
negative,This place has a lot of promise but fails to deliver.
negative,Very bad Experience!
negative,What a mistake.
negative,Food was average at best.
positive,Great food.
negative,We won't be going back anytime soon!
negative,Very Very Disappointed ordered the $35 Big Bay Plater.
positive,Great place to relax and have an awesome burger and beer.
positive,It is PERFECT for a sit-down family meal or get together with a few friends.
negative,"Not much flavor to them, and very poorly constructed."
positive,The patio seating was very comfortable.
negative,The fried rice was dry as well.
positive,Hands down my favorite Italian restaurant!
positive,"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas."
positive,It was just not a fun experience.
positive,The atmosphere was great with a lovely duo of violinists playing songs we requested.
positive,"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!)."
positive,"Very convenient, since we were staying at the MGM!"
positive,The owners are super friendly and the staff is courteous.
positive,Both great!
positive,Eclectic selection.
positive,The sweet potato tots were good but the onion rings were perfection or as close as I have had.
positive,The staff was very attentive.
positive,And the chef was generous with his time (even came around twice so we can take pictures with him).
positive,"The owner used to work at Nobu, so this place is really similar for half the price."
negative,Google mediocre and I imagine Smashburger will pop up.
negative,dont go here.
positive,I promise they won't disappoint.
negative,As a sushi lover avoid this place by all means.
positive,What a great double cheeseburger!
positive,Awesome service and food.
positive,A fantastic neighborhood gem !!!
positive,I can't wait to go back.
negative,The plantains were the worst I've ever tasted.
positive,It's a great place and I highly recommend it.
negative,Service was slow and not attentive.
positive,"I gave it 5 stars then, and I'm giving it 5 stars now."
negative,Your staff spends more time talking to themselves than me.
positive,Dessert: Panna Cotta was amazing.
positive,"Very good food, great atmosphere.1"
positive,Damn good steak.
negative,Total brunch fail.
positive,"Prices are very reasonable, flavors are spot on, the sauce is home made, and the slaw is not drenched in mayo."
positive,"The decor is nice, and the piano music soundtrack is pleasant."
positive,The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!
positive,"Good food , good service ."
positive,It was absolutely amazing.
negative,"I probably won't be back, to be honest."
positive,will definitely be back!
positive,The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.
positive,"Hawaiian Breeze, Mango Magic, and Pineapple Delight are the smoothies that I've tried so far and they're all good."
negative,Went for lunch - service was slow.
negative,"We had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed."
negative,I was mortified.
negative,"Needless to say, we will never be back here again."
negative,"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more."
negative,"The chips that came out were dripping with grease, and mostly not edible."
negative,I wasn't really impressed with Strip Steak.
positive,Have been going since 2007 and every meal has been awesome!!
positive,Our server was very nice and attentive as were the other serving staff.
positive,The cashier was friendly and even brought the food out to me.
negative,I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.
positive,The atmosphere here is fun.
negative,Would not recommend to others.
positive,"Service is quick and even ""to go"" orders are just like we like it!"
negative,"I mean really, how do you get so famous for your fish and chips when it's so terrible!?!"
positive,"That said, our mouths and bellies were still quite pleased."
negative,Not my thing.
positive,2 Thumbs Up!!
negative,If you are reading this please don't go there.
positive,"I loved the grilled pizza, reminded me of legit Italian pizza."
positive,Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!
positive,They have a really nice atmosphere.
negative,Tonight I had the Elk Filet special...and it sucked.
positive,"After one bite, I was hooked."
negative,We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.
positive,"Cute, quaint, simple, honest."
positive,The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.
positive,"The food was great as always, compliments to the chef."
positive,Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.
positive,Awesome selection of beer.
positive,Great food and awesome service!
positive,"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that."
negative,A FLY was in my apple juice.. A FLY!!!!!!!!
positive,The Han Nan Chicken was also very tasty.
positive,"As for the service, I thought it was good."
negative,"The food was barely lukewarm, so it must have been sitting waiting for the server to bring it out to us."
negative,Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.
positive,Nicest Chinese restaurant I've been in a while.
positive,"Overall, I like there food and the service."
positive,They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.
negative,"Probably never coming back, and wouldn't recommend it."
negative,"Friend's pasta -- also bad, he barely touched it."
positive,"Try them in the airport to experience some tasty food and speedy, friendly service."
positive,I love the decor with the Chinese calligraphy wall paper.
positive,Never had anything to complain about here.
positive,The restaurant is very clean and has a family restaurant feel to it.
negative,It was way over fried.
negative,I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.
negative,"When I opened the sandwich, I was impressed, but not in a good way."
negative,Will not be back!
positive,There was a warm feeling with the service and I felt like their guest for a special treat.
positive,An extensive menu provides lots of options for breakfast.
positive,"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from."
negative,"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!"
positive,Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.
positive,"I got to enjoy the seafood salad, with a fabulous vinegrette."
positive,"The wontons were thin, not thick and chewy, almost melt in your mouth."
positive,"Level 5 spicy was perfect, where spice didn't over-whelm the soup."
positive,We were sat right on time and our server from the get go was FANTASTIC!
negative,"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up."
positive,"When I'm on this side of town, this will definitely be a spot I'll hit up again!"
negative,I had to wait over 30 minutes to get my drink and longer to get 2 arepas.
positive,This is a GREAT place to eat!
positive,The jalapeno bacon is soooo good.
negative,The service was poor and thats being nice.
positive,"Food was good, service was good, Prices were good."
negative,The place was not clean and the food oh so stale!
negative,"The chicken dishes are OK, the beef is like shoe leather."
negative,But the service was beyond bad.
positive,"I'm so happy to be here!!!"""
negative,Tasted like dirt.
positive,One of the few places in Phoenix that I would definately go back to again .
positive,The block was amazing.
positive,"It's close to my house, it's low-key, non-fancy, affordable prices, good food."
positive,* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!
negative,My sashimi was poor quality being soggy and tasteless.
positive,Great time - family dinner on a Sunday night.
negative,"the food is not tasty at all, not to say its ""real traditional Hunan style""."
negative,"What did bother me, was the slow service."
positive,The flair bartenders are absolutely amazing!
negative,Their frozen margaritas are WAY too sugary for my taste.
positive,These were so good we ordered them twice.
negative,So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.
negative,My girlfriend's veal was very bad.
negative,"Unfortunately, it was not good."
positive,I had a pretty satifying experience.
positive,Join the club and get awesome offers via email.
positive,"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder."
negative,Bland and flavorless is a good way of describing the barely tepid meat.
negative,"The chains, which I'm no fan of, beat this place easily."
positive,The nachos are a MUST HAVE!
negative,We will not be coming back.
positive,"I don't have very many words to say about this place, but it does everything pretty well."
positive,"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff."
positive,"Great atmosphere, friendly and fast service."
positive,When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.
negative,Once your food arrives it's meh.
negative,Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.
positive,The classic Maine Lobster Roll was fantastic.
negative,"My brother in law who works at the mall ate here same day, and guess what he was sick all night too."
positive,So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.
positive,"The chips and salsa were really good, the salsa was very fresh."
positive,This place is great!!!!!!!!!!!!!!
negative,Mediocre food.
positive,Once you get inside you'll be impressed with the place.
negative,I'm super pissd.
positive,And service was super friendly.
negative,Why are these sad little vegetables so overcooked?
positive,This place was such a nice surprise!
positive,They were golden-crispy and delicious.
negative,"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat."
positive,I could eat their bruschetta all day it is devine.
negative,Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.
positive,"Lastly, the mozzarella sticks, they were the best thing we ordered."
positive,"The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was."
negative,The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!
negative,The service was terrible though.
negative,"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!"
negative,It was packed!!
positive,I love this place.
positive,I can say that the desserts were yummy.
negative,The food was terrible.
positive,The seasonal fruit was fresh white peach puree.
negative,It kept getting worse and worse so now I'm officially done.
negative,This place should honestly be blown up.
negative,But I definitely would not eat here again.
negative,Do not waste your money here!
positive,I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.
positive,The cr̻pe was delicate and thin and moist.
negative,Awful service.
negative,Won't ever go here again.
negative,Food quality has been horrible.
negative,For that price I can think of a few place I would have much rather gone.
negative,The service here is fair at best.
negative,"I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services."
negative,Do yourself a favor and stay away from this dish.
negative,Very poor service.
negative,No one at the table thought the food was above average or worth the wait that we had for it.
positive,"Best service and food ever, Maria our server was so good and friendly she made our day."
positive,They were excellent.
negative,I paid the bill but did not tip because I felt the server did a terrible job.
positive,Just had lunch here and had a great experience.
negative,I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.
negative,Food is way overpriced and portions are fucking small.
positive,I recently tried Caballero's and I have been back every week since!
negative,"for 40 bucks a head, i really expect better food."
positive,The food came out at a good pace.
positive,"I ate there twice on my last visit, and especially enjoyed the salmon salad."
negative,I won't be back.
negative,We could not believe how dirty the oysters were!
negative,This place deserves no stars.
negative,I would not recommend this place.
positive,"In fact I'm going to round up to 4 stars, just because she was so awesome."
negative,"To my disbelief, each dish qualified as the worst version of these foods I have ever tasted."
negative,"Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!"
positive,the potatoes were great and so was the biscuit.
negative,I probably would not go here again.
positive,So flavorful and has just the perfect amount of heat.
positive,The price is reasonable and the service is great.
negative,"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either."
negative,My fella got the huevos rancheros and they didn't look too appealing.
positive,"Went in for happy hour, great list of wines."
positive,Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!
negative,I probably won't be coming back here.
negative,Worst food/service I've had in a while.
positive,"This place is pretty good, nice little vibe in the restaurant."
positive,Talk about great customer service of course we will be back.
negative,"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil."
positive,I love their fries and their beans.
positive,Always a pleasure dealing with him.
positive,"They have a plethora of salads and sandwiches, and everything I've tried gets my seal of approval."
positive,This place is awesome if you want something light and healthy during the summer.
positive,"For sushi on the Strip, this is the place to go."
positive,"The service was great, even the manager came and helped with our table."
negative,The feel of the dining room was more college cooking course than high class dining and the service was slow at best.
negative,"I started this review with two stars, but I'm editing it to give it only one."
negative,this is the worst sushi i have ever eat besides Costco's.
positive,"All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting."
positive,My boyfriend and i sat at the bar and had a completely delightful experience.
negative,Weird vibe from owners.
negative,There was hardly any meat.
negative,I've had better bagels from the grocery store.
positive,Go To Place for Gyros.
positive,"I love the owner/chef, his one authentic Japanese cool dude!"
negative,"Now the burgers aren't as good, the pizza which used to be amazing is doughy and flavorless."
negative,I found a six inch long piece of wire in my salsa.
negative,"The service was terrible, food was mediocre."
positive,We definately enjoyed ourselves.
negative,I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.
negative,"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate."
negative,I had about two bites and refused to eat anymore.
negative,The service was extremely slow.
negative,"After 20 minutes wait, I got a table."
positive,Seriously killer hot chai latte.
negative,"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts."
positive,My boyfriend tried the Mediterranean Chicken Salad and fell in love.
positive,Their rotating beers on tap is also a highlight of this place.
negative,Pricing is a bit of a concern at Mellow Mushroom.
negative,Worst Thai ever.
positive,If you stay in Vegas you must get breakfast here at least once.
positive,I want to first say our server was great and we had perfect service.
positive,The pizza selections are good.
positive,"I had strawberry tea, which was good."
negative,Highly unprofessional and rude to a loyal patron!
positive,"Overall, a great experience."
negative,Spend your money elsewhere.
positive,Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!
negative,The Buffet at Bellagio was far from what I anticipated.
negative,"And the drinks are WEAK, people!"
negative,#NAME?
negative,"Also, I feel like the chips are bought, not made in house."
negative,After the disappointing dinner we went elsewhere for dessert.
positive,The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!
negative,We won't be returning.
positive,This is my new fav Vegas buffet spot.
negative,I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.
negative,"Very, very sad."
negative,"i felt insulted and disrespected, how could you talk and judge another human being like that?"
negative,"How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!"
negative,I'm not impressed with the concept or the food.
negative,The only thing I wasn't too crazy about was their guacamole as I don't like it pur̩ed.
negative,"There is really nothing for me at postinos, hope your experience is better"
negative,I got food poisoning here at the buffet.
negative,They brought a fresh batch of fries and I was thinking yay something warm but no!
negative,"What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us."
negative,"Needless to say, I won't be going back anytime soon."
negative,This place is disgusting!
positive,"Every time I eat here, I see caring teamwork to a professional degree."
negative,The RI style calamari was a joke.
negative,"However, there was so much garlic in the fondue, it was barely edible."
negative,"I could barely stomach the meal, but didn't complain because it was a business lunch."
negative,"It was so bad, I had lost the heart to finish it."
negative,It also took her forever to bring us the check when we asked for it.
negative,We aren't ones to make a scene at restaurants but I just don't get it...definitely lost the love after this one!
negative,Disappointing experience.
negative,"The food is about on par with Denny's, which is to say, not good at all."
negative,"If you want to wait for mediocre food and downright terrible service, then this is the place for you."
negative,WAAAAAAyyyyyyyyyy over rated is all I am saying.
negative,We won't be going back.
negative,The place was fairly clean but the food simply wasn't worth it.
negative,This place lacked style!!
negative,"The sangria was about half of a glass wine full and was $12, ridiculous."
negative,Don't bother coming here.
negative,"The meat was pretty dry, I had the sliced brisket and pulled pork."
negative,"The building itself seems pretty neat; the bathroom is pretty trippy, but I wouldn't eat here again."
negative,It was equally awful.
negative,Probably not in a hurry to go back.
negative,very slow at seating even with reservation.
negative,Not good by any stretch of the imagination.
negative,The cashew cream sauce was bland and the vegetables were undercooked.
negative,"The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat."
negative,"It was a bit too sweet, not really spicy enough, and lacked flavor."
negative,I was VERY disappointed!!
negative,This place is horrible and way overpriced.
negative,"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best."
negative,It wasn't busy at all and now we know why.
negative,The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.
negative,"The ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits."
negative,Con: spotty service.
negative,"The fries were not hot, and neither was my burger."
negative,But then they came back cold.
negative,"Then our food came out, disappointment ensued."
negative,The real disappointment was our waiter.
negative,My husband said she was very rude... did not even apologize for the bad food or anything.
negative,The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.
negative,"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it."
negative,If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?
negative,She was quite disappointed although some blame needs to be placed at her door.
negative,After all the rave reviews I couldn't wait to eat here......what a disappointment!
negative,Del Taco is pretty nasty and should be avoided if possible.
negative,It's NOT hard to make a decent hamburger.
negative,But I don't like it.
negative,Hell no will I go back
negative,We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.
negative,"I don't know what the big deal is about this place, but I won't be back ""ya'all""."
negative,I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.
negative,The ambiance isn't much better.
negative,"Unfortunately, it only set us up for disapppointment with our entrees."
negative,The food wasn't good.
negative,"Your servers suck, wait, correction, our server Heimer sucked."
negative,What happened next was pretty....off putting.
negative,"too bad cause I know it's family owned, I really wanted to like this place."
negative,Overpriced for what you are getting.
negative,I vomited in the bathroom mid lunch.
negative,"I kept looking at the time and it had soon become 35 minutes, yet still no food."
negative,"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list."
negative,We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.
negative,Food was below average.
negative,It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.
negative,"All in all, Ha Long Bay was a bit of a flop."
negative,The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).
negative,Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.
negative,"It lacked flavor, seemed undercooked, and dry."
negative,It really is impressive that the place hasn't closed down.
negative,I would avoid this place if you are staying in the Mirage.
negative,The refried beans that came with my meal were dried out and crusty and the food was bland.
negative,Spend your money and time some place else.
negative,A lady at the table next to us found a live green caterpillar In her salad.
negative,the presentation of the food was awful.
negative,I can't tell you how disappointed I was.
negative,I think food should have flavor and texture and both were lacking.
negative,Appetite instantly gone.
negative,Overall I was not impressed and would not go back.
negative,"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time."
negative,"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check."
